area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Denekamp 2,5088745,0.0,106.38,0.0,106.38,0.0,0.0,0.0,0.0,106.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.38,0.011937212144,106.39
Denekamp 2,9047635,0.0,4854.71,0.0,3596.87,0.0,0.0,812.89,444.95,4854.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854.71,0.343861875198,4854.74
Almelo Castello,2165456,0.0,195.95,0.0,53.58,0.0,0.0,0.0,142.37,195.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.95,1.0,195.94
Almelo Castello,2168378,0.0,1111.09,76.5,1065.99,76.5,0.0,45.1,0.0,1111.09,0.0,0.0,76.5,0.0,76.5,0.0,0.0,0.0,0.0,1111.09,0.0739474570562,1187.6
Almelo Castello,2168208,0.0,761.04,0.0,761.04,0.0,0.0,0.0,0.0,761.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.04,1.0,761.04
Almelo Castello,2168700,0.0,539.87,494.18,539.87,494.18,0.0,0.0,0.0,539.87,0.0,0.0,494.18,0.0,494.18,0.0,0.0,0.0,0.0,539.87,0.00258205519989,1034.06
Almelo Castello,2168379,0.0,0.0,22.91,0.0,22.91,0.0,0.0,0.0,0.0,0.0,0.0,22.91,0.0,22.91,0.0,0.0,0.0,0.0,0.0,0.475338280227,22.91
Almelo Castello,2168000,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,43.01
Almelo Castello,7828116,0.0,217.04,721.12,217.04,721.12,0.0,0.0,0.0,217.04,0.0,0.0,721.12,0.0,721.12,0.0,0.0,0.0,0.0,217.04,0.18730947153,938.18
Almelo Castello,2166318,0.0,374.88,0.0,374.88,0.0,0.0,0.0,0.0,374.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.88,1.0,374.88
Almelo Castello,2166057,0.0,398.8,0.0,398.8,0.0,0.0,0.0,0.0,398.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.8,1.0,398.8
Almelo Castello,2163861,0.0,251.28,3058.4,44.95,3058.4,0.0,206.33,0.0,251.28,0.0,0.0,3058.4,0.0,3058.4,0.0,0.0,0.0,0.0,251.28,0.107919472821,3309.69
Almelo Castello,2167817,0.0,397.99,0.0,397.99,0.0,0.0,0.0,0.0,397.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.99,1.0,397.99
Almelo Castello,2167951,0.0,280.11,0.0,0.0,0.0,0.0,280.11,0.0,280.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.11,0.0,280.11
Almelo Castello,2166287,0.0,670.67,0.0,562.86,0.0,0.0,74.07,33.74,670.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.67,0.116344605475,670.68
Almelo Castello,2167950,0.0,19.37,0.0,0.0,0.0,0.0,19.37,0.0,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37,0.0,19.37
Almelo Castello,2166524,0.0,0.0,24.87,0.0,24.87,0.0,0.0,0.0,0.0,0.0,0.0,24.87,0.0,24.87,0.0,0.0,0.0,0.0,0.0,0.0,24.87
Almelo Castello,8378335,0.0,373.02,0.0,373.02,0.0,0.0,0.0,0.0,373.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.02,0.560973648232,373.03
Almelo Castello,8378342,0.0,39.24,0.0,39.24,0.0,0.0,0.0,0.0,39.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.24,1.0,39.25
Almelo Castello,8169287,0.0,196.83,85.51,196.83,85.51,0.0,0.0,0.0,196.83,0.0,0.0,85.51,0.0,85.51,0.0,0.0,0.0,0.0,196.83,0.996174960156,282.35
Almelo Tusveld,-2164337,0.0,495.46,0.0,495.46,0.0,0.0,0.0,0.0,495.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.46,0.978545190328,495.46
Almelo Tusveld,9054945,0.0,314.59,0.0,119.63,0.0,0.0,194.96,0.0,314.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.96,0.0,119.63,1.0,314.59
Almelo Tusveld,8265558,0.0,399.63,0.0,399.63,0.0,0.0,0.0,0.0,399.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.63,0.996271737771,399.65
Almelo Tusveld,2165740,0.0,1802.55,0.0,801.43,0.0,0.0,477.69,523.43,1802.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.55,1.0,1802.53
Almelo Tusveld,2165741,0.0,153.41,0.0,153.41,0.0,0.0,0.0,0.0,153.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.41,0.996871129653,153.41
Almelo Tusveld,2166178,504.38,0.0,0.0,504.38,0.0,0.0,0.0,0.0,504.38,0.0,0.0,0.0,504.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,504.38
Almelo Tusveld,2166179,70.56,0.0,0.0,70.56,0.0,0.0,0.0,0.0,70.56,0.0,0.0,0.0,70.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.56
Almelo Tusveld,2168663,0.0,231.11,0.0,0.0,0.0,0.0,73.99,157.12,231.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.11,1.0,231.11
Almelo Tusveld,8786960,0.0,34.12,0.0,34.12,0.0,0.0,0.0,0.0,34.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.12,1.0,34.12
Almelo Tusveld,2169383,0.0,166.49,0.0,0.0,0.0,0.0,166.49,0.0,166.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.49,1.0,166.49
Almelo Tusveld,2168196,0.0,546.18,0.0,120.18,0.0,0.0,426.0,0.0,546.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.18,0.948552701441,546.19
Almelo Tusveld,2164560,0.0,242.59,0.0,36.67,0.0,0.0,96.12,109.8,242.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.59,1.0,242.59
Almelo Tusveld,2168072,1006.8,1162.25,0.0,1453.86,0.0,0.0,570.09,145.1,2169.05,0.0,0.0,0.0,1006.8,0.0,0.0,0.0,0.0,0.0,1162.25,1.0,2169.07
Almelo Tusveld,2165745,0.0,506.06,0.0,506.06,0.0,0.0,0.0,0.0,506.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.06,0.0,506.06
Almelo Tusveld,2165904,0.0,542.98,0.0,172.1,0.0,0.0,25.84,345.04,542.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.98,1.0,542.98
Almelo Tusveld,2165911,0.0,189.69,0.0,189.69,0.0,0.0,0.0,0.0,189.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.69,0.051344227728,189.7
Almelo Tusveld,8786967,0.0,2435.92,0.0,118.19,0.0,0.0,772.28,1545.45,2435.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.92,0.213444446725,2435.95
Almelo Tusveld,2168604,309.56,1271.56,0.0,1259.35,0.0,0.0,316.63,5.14,1581.12,0.0,0.0,0.0,309.56,0.0,0.0,0.0,0.0,0.0,1271.56,1.0,1581.13
Almelo Tusveld,2169305,0.0,488.27,0.0,276.69,0.0,0.0,0.0,211.58,488.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.27,0.165540263783,488.28
Almelo Tusveld,2167434,0.0,440.79,0.0,149.92,0.0,0.0,0.0,290.87,440.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.79,0.0170152910749,440.78
Almelo Tusveld,2168515,0.0,265.41,0.0,0.0,0.0,0.0,265.41,0.0,265.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.41,0.0,0.0,0.827367945144,265.42
Almelo Tusveld,2168998,0.0,298.75,0.0,298.75,0.0,0.0,0.0,0.0,298.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.75,1.0,298.75
Almelo Tusveld,2169091,0.0,636.63,0.0,0.0,0.0,0.0,636.63,0.0,636.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.29,0.0,333.34,0.411032922845,636.64
Almelo Tusveld,2168527,0.0,916.21,0.0,284.94,0.0,0.0,201.5,429.77,916.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.5,0.0,714.71,1.0,916.2
Almelo Tusveld,2169474,0.0,37.71,0.0,0.0,0.0,9.31,28.4,0.0,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71,1.0,37.71
Almelo Tusveld,2168888,0.0,767.5,0.0,557.12,0.0,0.0,14.17,196.21,767.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.5,1.0,767.52
Almelo Tusveld,2168529,0.0,25.16,0.0,25.16,0.0,0.0,0.0,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.16,1.0,25.16
Almelo Tusveld,2169257,0.0,681.77,0.0,485.07,0.0,0.0,59.71,136.99,681.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.77,1.0,681.79
Almelo Tusveld,2169224,0.0,173.29,0.0,27.93,0.0,0.0,145.36,0.0,173.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.29,1.0,173.29
Almelo Tusveld,2168674,9.11,2058.0,0.0,1403.63,0.0,0.0,249.03,414.45,2067.11,0.0,0.0,0.0,9.11,0.0,0.0,0.0,0.0,0.0,2058.0,0.0,2067.14
Almelo Tusveld,2168181,32.07,1021.29,0.0,723.79,0.0,0.0,329.57,0.0,1053.36,0.0,0.0,0.0,32.07,0.0,0.0,0.0,0.0,0.0,1021.29,1.0,1053.36
Almelo Tusveld,2169281,0.0,665.85,0.0,482.13,0.0,0.0,183.72,0.0,665.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.72,0.0,482.13,1.0,665.86
Almelo Tusveld,2168943,59.76,90.71,0.0,150.47,0.0,0.0,0.0,0.0,150.47,0.0,0.0,0.0,59.76,0.0,0.0,0.0,0.0,0.0,90.71,1.0,150.48
Almelo Tusveld,2168944,375.27,340.8,0.0,607.53,0.0,0.0,0.0,108.54,716.07,0.0,0.0,0.0,375.27,0.0,0.0,0.0,0.0,0.0,340.8,1.0,716.07
Almelo Tusveld,2168267,0.0,221.53,0.0,221.53,0.0,0.0,0.0,0.0,221.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.53,1.0,221.53
Almelo Tusveld,2166907,0.0,371.43,0.0,256.81,0.0,0.0,114.62,0.0,371.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.62,0.0,256.81,0.797307847624,371.45
Almelo Tusveld,2165152,0.0,1292.11,0.0,85.73,0.0,398.02,808.36,0.0,1292.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.11,1.0,1292.13
Almelo Tusveld,2167631,0.0,5.4,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1.0,5.41
Almelo Tusveld,2168757,0.0,3.59,0.0,0.0,0.0,0.0,2.67,0.92,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,1.0,3.59
Almelo Tusveld,2168994,0.0,318.91,0.0,318.91,0.0,0.0,0.0,0.0,318.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.91,0.370167131793,318.91
Almelo Tusveld,2162777,0.0,663.9,0.0,63.37,0.0,0.0,518.62,81.91,663.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.9,0.0,663.91
Almelo Tusveld,2162682,0.0,353.5,0.0,177.27,0.0,0.0,44.58,131.65,353.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.5,1.0,353.49
Almelo Tusveld,2166126,0.0,318.14,0.0,293.86,0.0,0.0,24.28,0.0,318.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.14,0.0570503551895,318.14
Almelo Tusveld,2168271,0.0,511.63,0.0,108.95,0.0,0.0,402.68,0.0,511.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.63,0.000390907491742,511.63
Almelo Tusveld,2165244,0.0,1588.81,0.0,1022.35,0.0,0.0,0.0,566.46,1588.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.81,0.0,1588.84
