area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Denekamp 2,1113,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67
Denekamp 2,1111,0.0,1811.97,0.0,1206.56,0.0,0.0,605.41,0.0,1811.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.97,0.0,1811.98
Almelo Castello,1215,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.54
Almelo Castello,1184,0.0,11.5,0.0,11.5,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,11.5
Almelo Castello,1211,0.0,0.48,0.0,0.48,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.48
Almelo Castello,1189,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67
Almelo Castello,1191,0.0,0.0,12.02,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,12.02,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,12.02
Almelo Castello,1187,0.0,0.0,1.09,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.09
Almelo Castello,1198,0.0,0.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.0,0.66
Almelo Castello,1210,0.0,374.88,0.0,374.88,0.0,0.0,0.0,0.0,374.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.88,1.0,374.88
Almelo Castello,1205,0.0,95.54,0.0,95.54,0.0,0.0,0.0,0.0,95.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.54,1.0,95.54
Almelo Castello,1186,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Almelo Castello,1213,0.0,51.5,0.0,51.5,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,1.0,51.5
Almelo Castello,1203,0.0,0.62,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62
Almelo Castello,1204,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Almelo Castello,1202,0.0,19.37,0.0,0.0,0.0,0.0,19.37,0.0,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37,0.0,19.37
Almelo Castello,1190,0.0,0.0,24.12,0.0,24.12,0.0,0.0,0.0,0.0,0.0,0.0,24.12,0.0,24.12,0.0,0.0,0.0,0.0,0.0,0.0,24.12
Almelo Castello,1196,0.0,189.94,0.0,189.94,0.0,0.0,0.0,0.0,189.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.94,1.0,189.95
Almelo Castello,1194,0.0,30.5,0.0,30.5,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,1.0,30.5
Almelo Castello,1193,0.0,0.0,0.73,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.73,0.0,0.0,0.0,0.0,0.0,1.0,0.73
Almelo Tusveld,318,0.0,28.6,0.0,28.6,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,1.0,28.6
Almelo Tusveld,300,0.0,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.0,0.34
