area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,467,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-166.953606625,499.16981261,2,10
Deurningen,467,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,499.16981261,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-117.036625364,1373.15479477,3,13
Deurningen,467,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,499.16981261,1373.15479477,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,20.2788541132,1413.81036725,6,13
Deurningen,467,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,499.16981261,1373.15479477,1413.81036725,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,161.659890839,-47.7335981066,9,7
Deurningen,467,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,499.16981261,1373.15479477,1413.81036725,-47.7335981066,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,156.886531028,-1733.57696059,9,0
Deurningen,470,4.00682333281,22.1791330399,-4.20285188371,60.5892617389,60.8552947758,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,117.759387464,715.558715122,8,10
Deurningen,470,22.1791330399,-4.20285188371,60.5892617389,60.8552947758,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,95.3381283135,-224.212591501,7,7
Deurningen,470,-4.20285188371,60.5892617389,60.8552947758,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,-0.480390020122,-958.185183336,6,4
Deurningen,470,60.5892617389,60.8552947758,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,-98.2437184783,-977.633284582,3,4
Deurningen,470,60.8552947758,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,-98.2437184783,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,-128.504777022,-302.610585436,3,6
Deurningen,470,-33.5764745611,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,-98.2437184783,-128.504777022,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,-77.755393487,507.493835349,4,10
Deurningen,470,-134.823803547,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,-98.2437184783,-128.504777022,-77.755393487,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,-0.557671015111,771.977224719,5,11
Deurningen,470,-152.742529099,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,-98.2437184783,-128.504777022,-77.755393487,-0.557671015111,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,34.5944396694,351.521106845,6,9
Deurningen,470,-72.1302361381,46.2035159514,117.759387464,95.3381283135,-0.480390020122,-98.2437184783,-128.504777022,-77.755393487,-0.557671015111,34.5944396694,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26,34.6563440936,0.619044241969,6,8
Deurningen,471,11.0796207563,36.4694406012,35.3528450455,92.1712819414,110.530072979,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-64.3215495018,374.72932033,4,9
Deurningen,471,36.4694406012,35.3528450455,92.1712819414,110.530072979,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-38.183044259,261.385052429,5,9
Deurningen,471,35.3528450455,92.1712819414,110.530072979,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-30.6388550486,75.4418921038,5,8
