area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,471,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-55.2973994857,-159.117130119,9,7
Deurningen,471,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,-55.2973994857,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-73.5724005807,-182.75001095,8,7
Deurningen,471,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,-55.2973994857,-73.5724005807,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-42.7167461685,308.556544122,10,11
Deurningen,474,91.8209895531,-5.07709296554,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-44.5950728324,164.06613538,10,10
Deurningen,474,-5.07709296554,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-18.5400823188,260.549905136,11,11
Deurningen,474,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-9.0840888329,94.559934859,11,9
Deurningen,474,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-22.9998499964,-139.157611635,11,7
Deurningen,474,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-40.9391782502,-179.393282538,10,7
Deurningen,474,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-31.505624956,94.335532942,10,9
Deurningen,474,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,17.9478922321,494.535171881,12,13
Deurningen,474,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,17.9478922321,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,71.9532891232,540.053968911,14,13
Deurningen,474,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,-22.9998499964,-40.9391782502,-31.505624956,17.9478922321,71.9532891232,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,54.375503687,-175.777854362,14,7
Deurningen,466,11.9004613299,53.7506204367,54.8520150246,147.124883146,179.133654861,90.7715215159,-57.0931724161,-167.322757469,-184.833193411,-123.582000238,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-44.1728691494,368.306247574,10,12
Deurningen,466,53.7506204367,54.8520150246,147.124883146,179.133654861,90.7715215159,-57.0931724161,-167.322757469,-184.833193411,-123.582000238,-44.1728691494,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-7.34224439201,-262.630722913,11,6
Deurningen,466,54.8520150246,147.124883146,179.133654861,90.7715215159,-57.0931724161,-167.322757469,-184.833193411,-123.582000238,-44.1728691494,-7.34224439201,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65,-33.6053166833,-577.330913851,10,4
